Uvalde, Gerald Ford, Republican, 56.95
Val Verde, Jimmy Carter, Democrat, 56.46
Van Zandt, Jimmy Carter, Democrat, 65.15
Victoria, Gerald Ford, Republican, 56.34
Walker, Jimmy Carter, Democrat, 50.19
Waller, Jimmy Carter, Democrat, 58.17
Ward, Gerald Ford, Republican, 50.33
Washington, Gerald Ford, Republican, 58.77
Webb, Jimmy Carter, Democrat, 70.5
Wharton, Jimmy Carter, Democrat, 55.56
Wheeler, Jimmy Carter, Democrat, 55.33
Wichita, Jimmy Carter, Democrat, 53.35
Wilbarger, Jimmy Carter, Democrat, 59.9
Willacy, Jimmy Carter, Democrat, 65.48
Williamson, Jimmy Carter, Democrat, 55
Wilson, Jimmy Carter, Democrat, 67.32
Winkler, Gerald Ford, Republican, 56.4
Wise, Jimmy Carter, Democrat, 64.06
Wood, Jimmy Carter, Democrat, 56.84
Yoakum, Gerald Ford, Republican, 55.11
Young, Jimmy Carter, Democrat, 56.33
Zapata, Jimmy Carter, Democrat, 72.29
Zavala, Jimmy Carter, Democrat, 70.67
